Ref No,Calibre,Projectile Type,Projectile Dimension,dai,projectile mass,total mass with sabbot,Petal burst pressure,powder mass,Actual Velocity,expected velocity,Shape,s_type,Breadth,Height,Material,c_drag,Surface Area,Volume,SA/vol,Density,Moment of inerta,cd,sabo length
18,40 mm,B,19.16,19.16,13.82,16.71,21.22,2.17,892.46,949.79,spherical,type2,,11.8,steel,0.596,1153.296,3682.859,0.313,7800,0.3449,0.139,71.62
19,40 mm,B,16.16,16.16,6.87,7.84,77.23,2.01,953.91,953.56,ogive,type1,,9.61,steel,0.363,820.413,2209.646,0.371,7800,0.4645,0.827,38.42
20,29 mm,C,16.74,16.74,14.55,15.37,100.15,3.88,1174.75,1227.12,cylindrical,type1,10.34,14.28,brass,0.743,880.361,2456.207,0.358,8500,0.3915,0.755,48.76
21,40 mm,E,12.29,12.29,4.09,6.49,46.47,4.08,1323.98,1286.74,spherical,type3,5.28,3.57,tungsten,0.333,474.519,971.973,0.488,19300,0.3554,0.841,29.04
22,40 mm,E,13.3,13.3,2.37,3.55,50.07,3.04,1189.61,1181.11,spherical,type3,9.22,11.46,steel,0.534,555.716,1231.838,0.451,7800,0.4105,0.753,38.51
23,29 mm,B,6.28,6.28,16.24,18.89,46.39,3.83,1139.77,1182.43,conical,type3,,4.87,aluminum,0.173,123.899,129.681,0.955,2700,0.4979,0.726,61.2
24,40 mm,C,8.34,8.34,4.83,6.16,90.07,5.99,1551.24,1582.13,conical,type1,13.51,,aluminum,0.383,218.515,303.736,0.719,2700,0.1232,0.865,69.43
25,40 mm,D,17.32,17.32,7.7,9.67,51.65,5.08,1362.78,1386.07,ogive,type2,3.94,7.51,aluminum,0.865,942.423,2720.46,0.346,2700,0.1954,0.228,31.66
26,29 mm,A,9.65,9.65,4.02,5.24,88.76,1.79,917.71,898.23,ogive,type3,5.32,4.15,aluminum,0.117,292.553,470.523,0.622,2700,0.2758,0.438,32.03
27,29 mm,B,8.62,8.62,7.67,8.71,56.18,4.99,1403.7,1389.73,cylindrical,type3,,7.55,tungsten,0.411,233.434,335.367,0.696,19300,0.3804,0.708,33.1
28,40 mm,C,11.72,11.72,12.57,15.03,36.94,3.38,1140.15,1162.78,conical,type1,6.95,4.91,brass,0.119,431.524,842.91,0.512,8500,0.2752,0.449,25.48
29,29 mm,D,10.04,10.04,13.55,16.46,111.39,3.4,1127.66,1133.07,spherical,type1,4.55,7.62,aluminum,0.816,316.678,529.907,0.598,2700,0.4516,0.515,76.97
30,29 mm,E,5.56,5.56,3.79,6.36,67.93,5.92,1574.27,1539.12,ogive,type1,,5.26,tungsten,0.836,97.118,89.996,1.079,19300,0.3342,0.59,70.91
31,40 mm,D,9.82,9.82,13.51,16.09,93.69,3.97,1252.44,1191.63,ogive,type3,8.35,,tungsten,0.19,302.951,495.83,0.611,19300,0.3814,0.232,49.49
32,40 mm,E,10.32,10.32,5.87,7.49,113.64,4.64,1362.8,1331.27,cylindrical,type3,6.61,,steel,0.269,334.587,575.49,0.581,7800,0.3017,0.451,25.1
33,40 mm,C,12.43,12.43,16.69,19.21,40.41,4.93,1319.4,1357.72,conical,type1,5.72,7.91,tungsten,0.314,485.391,1005.569,0.483,19300,0.1659,0.253,54.22
34,29 mm,E,14.06,14.06,7.18,8.49,30.17,2.32,1019.37,1042.47,cylindrical,type2,9.68,,aluminum,0.863,621.041,1455.307,0.427,2700,0.1298,0.174,36.52
35,29 mm,C,18.2,18.2,14.59,16.95,53.3,1.73,837.48,855.22,conical,type3,11.29,4.77,tungsten,0.202,1040.621,3156.551,0.33,19300,0.3805,0.512,73.01
36,40 mm,D,17.8,17.8,10.95,13.76,44.4,1.79,912.9,875.23,conical,type3,6.8,13.87,aluminum,0.675,995.382,2952.967,0.337,2700,0.0347,0.677,44.35
37,40 mm,D,8.03,8.03,8.47,10.34,49.74,4.84,1384.54,1354.43,cylindrical,type3,4.45,,steel,0.223,202.573,271.11,0.747,7800,0.2447,0.869,68.14
38,29 mm,E,7.1,7.1,18.07,20.2,95.03,3.42,1153.1,1128.66,conical,type3,9.11,7.48,aluminum,0.45,158.368,187.402,0.845,2700,0.1529,0.226,23.68
39,29 mm,E,12.78,12.78,10.57,12.92,62.59,3.7,1109.1,1138.87,spherical,type1,,,aluminum,0.671,513.111,1092.927,0.469,2700,0.0263,0.593,70.91
40,40 mm,A,15.26,15.26,14.47,17.03,87.11,3.55,1214.86,1167.64,ogive,type2,13.61,9.09,steel,0.624,731.575,1860.639,0.393,7800,0.455,0.839,63.7
41,40 mm,C,8.09,8.09,6.02,8.95,103.81,1.92,966.81,975.36,cylindrical,type3,14.84,5.41,steel,0.847,205.611,277.233,0.742,7800,0.0705,0.779,46.3
42,40 mm,E,15.31,15.31,5.3,7.97,66.37,4.7,1424.4,1409.16,spherical,type1,4.83,4.14,brass,0.373,736.377,1878.989,0.392,8500,0.4754,0.595,61.45
43,40 mm,D,12.7,12.7,10.7,12.37,100.2,3.17,1105.01,1055.91,ogive,type1,,13.62,tungsten,0.492,506.707,1072.531,0.472,19300,0.4628,0.199,41.45
44,29 mm,E,18.38,18.38,13.6,14.38,106.2,3.79,1179.37,1199.7,cylindrical,type1,4.79,,steel,0.682,1061.307,3251.136,0.326,7800,0.3889,0.849,30.42
45,29 mm,D,5.1,5.1,7.92,10.86,105.5,1.92,895.2,955.91,cylindrical,type2,8.89,14.32,tungsten,0.205,81.713,69.456,1.176,19300,0.0728,0.68,33.48
46,40 mm,B,9.12,9.12,5.1,7.92,114.3,1.76,931.06,903.67,conical,type1,,11.66,steel,0.451,261.3,397.176,0.658,7800,0.0774,0.254,71.93
47,29 mm,C,16.57,16.57,2.64,3.36,114.87,2.4,989.33,1049.98,conical,type3,9.04,8.91,brass,0.356,862.571,2382.134,0.362,8500,0.2899,0.275,42.12
48,40 mm,E,19.62,19.62,4.49,5.68,56.98,5.95,1580.49,1533.1,conical,type2,8.27,,tungsten,0.404,1209.338,3954.537,0.306,19300,0.2431,0.222,54.6
49,40 mm,B,17.24,17.24,15.97,17.45,116.49,2.0,880.56,876.72,conical,type3,10.75,,steel,0.232,933.737,2682.937,0.348,7800,0.2462,0.211,29.61
50,40 mm,C,6.25,6.25,13.13,14.63,30.85,2.75,1013.11,993.63,spherical,type1,,7.1,aluminum,0.41,122.718,127.832,0.96,2700,0.358,0.771,77.16
51,40 mm,E,6.08,6.08,16.73,19.56,72.82,5.45,1402.43,1421.12,ogive,type3,9.53,12.28,tungsten,0.226,116.133,117.682,0.987,19300,0.1727,0.204,58.84
52,29 mm,A,6.25,6.25,17.07,17.96,91.34,4.8,1242.78,1252.43,cylindrical,type2,14.35,3.68,brass,0.345,122.718,127.832,0.96,8500,0.0966,0.507,25.92
53,29 mm,C,19.14,19.14,5.25,7.38,113.37,2.85,1051.39,1114.08,cylindrical,type2,12.53,9.52,aluminum,0.242,1150.89,3671.338,0.313,2700,0.0936,0.118,44.58
54,40 mm,C,18.83,18.83,6.56,9.44,20.77,4.27,1178.88,1247.08,conical,type2,4.79,12.77,aluminum,0.286,1113.911,3495.824,0.319,2700,0.335,0.6,78.13
55,29 mm,D,16.39,16.39,10.89,11.65,54.08,3.04,977.09,1030.17,spherical,type2,8.62,14.96,brass,0.567,843.933,2305.343,0.366,8500,0.3044,0.374,35.32
56,29 mm,A,6.27,6.27,9.67,12.21,86.68,1.65,864.13,923.23,ogive,type1,14.24,12.41,tungsten,0.375,123.505,129.063,0.957,19300,0.441,0.336,78.9
57,40 mm,C,19.13,19.13,5.07,6.52,49.83,2.73,1073.82,1100.0,cylindrical,type3,14.92,11.24,brass,0.72,1149.688,3665.587,0.314,8500,0.4161,0.158,71.12
58,29 mm,E,18.43,18.43,19.08,21.7,50.21,4.55,1264.78,1205.34,conical,type2,,,tungsten,0.863,1067.089,3277.741,0.326,19300,0.3458,0.643,72.01
59,29 mm,D,18.05,18.05,4.08,6.17,108.98,2.48,1072.8,1061.29,ogive,type3,8.78,7.15,tungsten,0.304,1023.539,3079.146,0.332,19300,0.0943,0.401,39.94
60,40 mm,D,16.72,16.72,11.74,14.0,38.85,4.62,1318.24,1273.74,spherical,type2,,13.74,aluminum,0.822,878.259,2447.414,0.359,2700,0.1408,0.443,41.26
61,40 mm,C,19.2,19.2,16.62,19.45,39.95,2.9,973.1,996.85,cylindrical,type2,,3.83,brass,0.556,1158.117,3705.973,0.313,8500,0.0943,0.62,64.07
62,29 mm,C,14.42,14.42,11.14,13.19,26.99,3.92,1187.87,1169.61,ogive,type3,11.87,10.6,steel,0.847,653.251,1569.981,0.416,7800,0.1633,0.454,32.65
63,40 mm,E,14.1,14.1,18.46,19.09,116.81,5.07,1355.31,1301.52,conical,type1,4.47,6.78,steel,0.773,624.58,1467.763,0.426,7800,0.4902,0.189,25.49
64,40 mm,A,7.57,7.57,17.95,19.69,101.91,5.6,1417.39,1405.14,conical,type2,7.94,10.6,tungsten,0.208,180.029,227.136,0.793,19300,0.1403,0.262,63.01
65,29 mm,A,8.59,8.59,4.15,6.79,30.74,5.95,1629.51,1564.56,conical,type1,,,tungsten,0.522,231.812,331.878,0.698,19300,0.2198,0.448,49.11
66,29 mm,A,12.96,12.96,5.97,8.55,110.4,2.94,1041.67,1075.68,cylindrical,type1,9.95,,steel,0.864,527.667,1139.761,0.463,7800,0.2398,0.511,21.35
67,29 mm,D,6.02,6.02,8.46,9.28,117.49,4.14,1270.12,1301.19,conical,type2,14.73,13.33,aluminum,0.619,113.853,114.232,0.997,2700,0.27,0.554,26.83
68,29 mm,D,17.66,17.66,9.1,9.74,63.35,5.42,1438.56,1401.0,cylindrical,type1,8.98,9.84,tungsten,0.524,979.786,2883.837,0.34,19300,0.4103,0.216,76.2
69,29 mm,D,10.0,10.0,13.1,14.5,34.29,3.86,1142.73,1158.66,conical,type2,11.79,10.42,steel,0.539,314.159,523.599,0.6,7800,0.0797,0.144,20.98
70,29 mm,B,6.65,6.65,3.03,3.73,77.72,3.02,1183.73,1153.88,ogive,type1,14.04,13.8,brass,0.68,138.929,153.98,0.902,8500,0.2869,0.784,63.97
71,29 mm,D,12.44,12.44,17.48,18.64,108.67,2.42,945.36,928.87,spherical,type3,,4.55,tungsten,0.896,486.173,1007.998,0.482,19300,0.1462,0.864,31.58
72,40 mm,E,6.53,6.53,3.69,6.23,45.13,2.11,993.97,975.71,cylindrical,type3,11.58,,aluminum,0.347,133.96,145.794,0.919,2700,0.1892,0.817,23.29
73,29 mm,A,12.84,12.84,14.25,15.37,87.11,1.58,756.91,825.26,conical,type2,,6.27,tungsten,0.135,517.941,1108.393,0.467,19300,0.4103,0.255,61.63
74,40 mm,E,7.18,7.18,3.38,5.94,105.18,1.93,961.89,954.42,conical,type1,9.81,8.86,tungsten,0.204,161.957,193.808,0.836,19300,0.0891,0.219,34.45
75,40 mm,E,6.3,6.3,19.01,19.86,92.31,3.59,1051.57,1119.55,spherical,type2,6.76,6.72,tungsten,0.381,124.69,130.924,0.952,19300,0.3472,0.61,42.24
76,29 mm,C,13.59,13.59,19.95,22.02,33.48,1.72,773.83,805.71,spherical,type3,6.99,14.52,brass,0.289,580.215,1314.186,0.442,8500,0.2287,0.326,69.74
77,40 mm,D,8.24,8.24,18.18,20.89,50.38,3.61,1039.86,1065.8,spherical,type2,12.0,8.48,tungsten,0.198,213.307,292.941,0.728,19300,0.2867,0.719,43.52
78,40 mm,D,10.38,10.38,13.2,15.96,102.15,5.84,1500.99,1455.94,cylindrical,type3,8.8,5.75,steel,0.411,338.489,585.586,0.578,7800,0.3213,0.142,35.86
79,29 mm,D,12.02,12.02,17.11,19.48,62.75,4.85,1277.31,1261.62,spherical,type2,13.05,,aluminum,0.352,453.899,909.31,0.499,2700,0.3161,0.505,30.7
80,29 mm,D,18.99,18.99,10.49,12.48,112.5,4.54,1261.66,1324.51,spherical,type1,13.85,11.3,aluminum,0.9,1132.921,3585.696,0.316,2700,0.2006,0.446,32.84
81,29 mm,D,18.83,18.83,15.34,17.88,77.94,2.37,950.23,922.15,spherical,type3,12.79,11.97,aluminum,0.401,1113.911,3495.824,0.319,2700,0.4219,0.45,31.49
82,29 mm,D,19.11,19.11,12.37,13.78,73.13,2.49,1005.98,997.81,cylindrical,type1,9.36,7.53,tungsten,0.123,1147.285,3654.102,0.314,19300,0.4714,0.768,46.73
83,29 mm,D,16.05,16.05,5.5,7.58,53.34,4.36,1268.56,1318.09,cylindrical,type1,7.09,12.79,aluminum,0.882,809.282,2164.83,0.374,2700,0.0477,0.829,52.85
84,29 mm,A,15.79,15.79,18.32,19.57,91.63,4.16,1285.83,1234.15,cylindrical,type3,4.69,13.38,steel,0.741,783.275,2061.318,0.38,7800,0.4314,0.613,55.58
85,40 mm,E,10.48,10.48,10.71,11.89,47.06,4.29,1287.01,1302.27,spherical,type2,,,brass,0.877,345.042,602.674,0.573,8500,0.1948,0.798,44.17
86,29 mm,D,13.93,13.93,5.48,6.87,66.72,5.77,1575.99,1570.23,spherical,type3,10.36,,steel,0.288,609.61,1415.311,0.431,7800,0.333,0.813,79.5
87,29 mm,D,13.67,13.67,14.01,15.19,110.41,4.13,1265.95,1227.12,conical,type2,4.94,6.5,aluminum,0.519,587.066,1337.532,0.439,2700,0.2173,0.581,45.3
88,29 mm,A,17.6,17.6,17.9,20.22,53.27,4.09,1182.64,1229.17,ogive,type3,11.02,12.27,aluminum,0.596,973.14,2854.543,0.341,2700,0.186,0.291,59.34
89,29 mm,B,17.02,17.02,9.89,12.82,55.55,1.88,912.76,871.35,conical,type1,5.55,11.65,brass,0.446,910.058,2581.531,0.353,8500,0.0456,0.575,21.36
90,29 mm,A,13.43,13.43,16.17,16.93,55.41,2.56,1026.01,969.44,conical,type2,9.2,4.09,aluminum,0.87,566.633,1268.314,0.447,2700,0.4913,0.883,23.58
91,40 mm,C,5.95,5.95,7.8,10.22,99.21,1.71,918.34,948.06,cylindrical,type3,5.55,,steel,0.121,111.22,110.293,1.008,7800,0.1716,0.757,29.66
92,40 mm,A,12.25,12.25,5.77,7.59,60.48,2.42,1108.64,1062.62,ogive,type2,,,brass,0.486,471.435,962.514,0.49,8500,0.1131,0.278,45.09
93,40 mm,C,5.16,5.16,2.74,4.64,66.77,3.96,1260.13,1241.93,spherical,type3,,4.15,steel,0.632,83.647,71.936,1.163,7800,0.3116,0.587,23.09
94,29 mm,C,19.6,19.6,17.53,18.89,103.97,1.93,877.66,902.49,conical,type1,14.93,5.38,steel,0.241,1206.874,3942.456,0.306,7800,0.4693,0.375,58.18
95,29 mm,D,15.94,15.94,8.95,10.53,23.09,5.07,1346.38,1388.64,cylindrical,type2,14.27,10.06,steel,0.669,798.227,2120.624,0.376,7800,0.0445,0.571,49.6
96,29 mm,D,16.44,16.44,15.03,15.62,106.47,5.2,1374.19,1337.63,conical,type1,13.55,5.37,aluminum,0.149,849.09,2326.505,0.365,2700,0.3723,0.36,37.29
97,40 mm,A,5.27,5.27,14.92,16.54,107.26,5.34,1381.9,1388.9,spherical,type1,7.3,3.18,brass,0.214,87.251,76.636,1.139,8500,0.2434,0.73,63.03
98,29 mm,E,18.51,18.51,6.24,8.11,92.42,3.02,1136.66,1092.83,spherical,type2,8.63,4.85,aluminum,0.232,1076.373,3320.61,0.324,2700,0.3891,0.7,54.95
99,29 mm,A,8.5,8.5,8.2,10.63,88.78,5.55,1436.98,1432.96,ogive,type2,,3.14,steel,0.403,226.98,321.555,0.706,7800,0.2281,0.139,64.4
100,29 mm,C,5.07,5.07,2.17,3.84,96.53,5.47,1442.14,1501.13,ogive,type2,,8.97,brass,0.64,80.754,68.237,1.183,8500,0.3616,0.886,65.85
101,29 mm,D,17.49,17.49,15.22,17.5,38.38,4.07,1201.54,1202.67,ogive,type3,11.74,10.85,brass,0.785,961.014,2801.354,0.343,8500,0.4209,0.334,43.14
102,40 mm,A,16.81,16.81,18.93,19.44,103.23,5.36,1383.67,1340.6,cylindrical,type1,,,tungsten,0.211,887.739,2487.149,0.357,19300,0.436,0.163,50.17
103,40 mm,D,10.65,10.65,16.0,17.83,75.29,2.27,884.76,926.47,cylindrical,type1,,7.35,tungsten,0.501,356.327,632.481,0.563,19300,0.3473,0.724,70.44
104,29 mm,A,14.48,14.48,6.75,8.77,82.83,2.71,1034.88,1068.1,spherical,type2,8.48,8.36,tungsten,0.89,658.699,1589.66,0.414,19300,0.2349,0.605,49.72
105,29 mm,E,19.5,19.5,4.83,5.36,114.16,4.1,1258.51,1246.65,ogive,type1,,,aluminum,0.558,1194.591,3882.419,0.308,2700,0.4292,0.83,33.99
106,40 mm,E,10.42,10.42,11.37,14.08,77.76,4.52,1269.25,1322.71,ogive,type3,13.13,14.07,brass,0.249,341.103,592.382,0.576,8500,0.2012,0.501,55.56
107,40 mm,D,7.87,7.87,7.89,8.58,24.3,2.01,937.87,967.67,spherical,type2,11.63,,brass,0.157,194.581,255.225,0.762,8500,0.1541,0.27,77.16
108,29 mm,C,10.72,10.72,14.0,16.3,60.55,2.42,893.37,937.07,conical,type1,,6.83,steel,0.839,361.027,645.035,0.56,7800,0.3402,0.864,61.77
109,40 mm,C,13.27,13.27,14.0,16.52,53.09,3.25,1148.46,1085.36,cylindrical,type2,11.24,5.54,steel,0.4,553.212,1223.521,0.452,7800,0.3419,0.635,36.88
110,40 mm,E,6.29,6.29,4.31,5.15,70.91,4.24,1246.88,1279.49,spherical,type1,,,brass,0.787,124.294,130.302,0.954,8500,0.2503,0.419,68.01
111,40 mm,A,13.66,13.66,4.89,6.32,106.88,4.62,1382.32,1376.3,spherical,type1,14.41,8.77,steel,0.382,586.207,1334.599,0.439,7800,0.0778,0.74,65.5
112,40 mm,A,10.81,10.81,19.26,21.14,102.93,1.53,784.97,770.6,cylindrical,type2,10.8,10.83,steel,0.155,367.114,661.418,0.555,7800,0.3526,0.212,54.78
113,40 mm,B,18.27,18.27,19.24,20.39,71.37,2.86,956.48,957.63,conical,type3,14.58,3.34,steel,0.442,1048.641,3193.113,0.328,7800,0.0189,0.5,53.17
114,40 mm,A,10.26,10.26,16.79,18.12,31.64,5.19,1372.23,1337.24,ogive,type1,,9.89,aluminum,0.46,330.708,565.511,0.585,2700,0.2841,0.743,54.08
115,40 mm,E,14.55,14.55,5.61,7.61,78.27,3.94,1308.08,1253.48,spherical,type1,10.39,4.38,aluminum,0.409,665.083,1612.826,0.412,2700,0.1468,0.198,33.2
116,29 mm,D,10.32,10.32,3.89,4.53,86.75,5.6,1570.62,1534.64,cylindrical,type2,,8.45,tungsten,0.146,334.587,575.49,0.581,19300,0.1738,0.786,39.49
117,29 mm,E,7.36,7.36,17.88,18.72,72.44,4.2,1172.42,1181.03,ogive,type2,3.64,11.63,steel,0.187,170.179,208.753,0.815,7800,0.167,0.239,41.34
118,40 mm,D,9.43,9.43,6.49,8.49,63.93,3.65,1134.98,1184.29,conical,type2,3.0,4.43,brass,0.586,279.366,439.07,0.636,8500,0.2953,0.473,30.72
119,40 mm,A,5.83,5.83,19.66,21.03,23.56,2.4,944.96,968.28,conical,type2,13.29,10.4,steel,0.69,106.779,103.754,1.029,7800,0.1199,0.498,32.27
120,29 mm,A,17.58,17.58,3.95,5.08,63.7,2.05,1000.35,1014.83,cylindrical,type2,14.59,,tungsten,0.316,970.929,2844.823,0.341,19300,0.1363,0.243,70.01
121,40 mm,B,5.9,5.9,16.6,18.54,47.13,5.66,1510.67,1450.06,cylindrical,type3,8.53,,tungsten,0.611,109.359,107.536,1.017,19300,0.4434,0.79,40.87
122,29 mm,D,7.54,7.54,4.85,5.98,22.94,3.41,1250.87,1182.56,conical,type1,9.49,3.07,steel,0.443,178.605,224.446,0.796,7800,0.4755,0.158,71.65
123,29 mm,B,10.78,10.78,5.8,6.49,37.97,4.42,1331.31,1342.66,ogive,type3,14.52,12.22,aluminum,0.427,365.079,655.926,0.557,2700,0.0275,0.231,44.6
124,29 mm,B,18.48,18.48,15.19,17.33,51.92,3.37,1038.78,1076.9,ogive,type2,9.9,12.69,aluminum,0.868,1072.887,3304.491,0.325,2700,0.3548,0.345,63.02
125,29 mm,D,15.79,15.79,14.32,16.01,26.34,4.18,1223.99,1195.22,conical,type3,5.52,,brass,0.699,783.275,2061.318,0.38,8500,0.2338,0.122,39.98
126,40 mm,E,8.79,8.79,8.38,10.5,95.11,4.68,1430.75,1376.07,conical,type2,14.34,,aluminum,0.372,242.732,355.603,0.683,2700,0.4281,0.179,60.23
127,29 mm,B,5.58,5.58,4.76,5.3,81.31,2.32,1025.87,985.66,spherical,type1,4.96,,brass,0.148,97.818,90.971,1.075,8500,0.209,0.771,30.68
128,40 mm,C,17.69,17.69,17.5,19.33,97.7,2.93,1043.54,996.21,conical,type2,4.56,9.54,aluminum,0.546,983.118,2898.559,0.339,2700,0.3104,0.343,37.56
129,29 mm,A,9.49,9.49,6.2,8.54,83.98,4.2,1263.14,1259.22,spherical,type2,10.71,,tungsten,0.601,282.932,447.504,0.632,19300,0.4898,0.36,28.63
130,29 mm,E,14.93,14.93,18.85,21.66,90.07,2.18,837.06,861.13,cylindrical,type3,3.86,10.54,steel,0.782,700.276,1742.521,0.402,7800,0.3955,0.27,44.37
131,40 mm,D,6.1,6.1,12.25,13.42,115.81,2.15,928.87,901.0,ogive,type3,,,brass,0.651,116.899,118.847,0.984,8500,0.2092,0.396,21.84
132,40 mm,D,18.33,18.33,10.28,12.19,55.59,5.12,1397.86,1377.53,cylindrical,type2,,12.6,brass,0.252,1055.54,3224.675,0.327,8500,0.2982,0.751,69.93
133,29 mm,D,18.53,18.53,13.32,15.45,93.28,5.65,1417.1,1406.08,cylindrical,type1,,5.32,brass,0.524,1078.7,3331.385,0.324,8500,0.1447,0.319,32.46
134,40 mm,A,10.67,10.67,3.96,6.4,48.4,3.48,1217.05,1217.86,spherical,type1,4.44,,steel,0.156,357.667,636.051,0.562,7800,0.2075,0.196,71.04
135,40 mm,B,6.61,6.61,18.64,20.09,88.98,2.73,1081.58,1023.4,spherical,type1,10.4,7.63,brass,0.532,137.263,151.218,0.908,8500,0.2728,0.463,53.89
136,29 mm,A,6.08,6.08,16.47,17.39,105.39,2.96,1072.58,1024.06,conical,type2,8.98,14.37,brass,0.198,116.133,117.682,0.987,8500,0.224,0.584,75.94
137,40 mm,C,14.04,14.04,5.77,7.0,83.9,3.03,1198.52,1141.12,spherical,type1,9.2,13.23,steel,0.73,619.276,1449.105,0.427,7800,0.4471,0.643,42.81
138,40 mm,A,14.86,14.86,16.07,18.84,56.34,5.44,1436.27,1370.17,conical,type1,13.09,,tungsten,0.394,693.725,1718.126,0.404,19300,0.2564,0.469,58.49
139,29 mm,E,12.58,12.58,6.67,9.21,36.12,5.12,1391.28,1444.23,cylindrical,type2,14.82,3.71,tungsten,0.739,497.177,1042.415,0.477,19300,0.4246,0.191,32.59
140,29 mm,B,8.58,8.58,11.72,13.64,117.97,5.38,1454.39,1467.01,conical,type1,3.81,13.8,brass,0.41,231.273,330.72,0.699,8500,0.0684,0.495,36.12
141,29 mm,E,16.98,16.98,6.3,9.26,84.34,4.74,1391.34,1348.6,conical,type3,13.98,,aluminum,0.678,905.785,2563.372,0.353,2700,0.0308,0.149,64.05
142,40 mm,D,10.44,10.44,8.41,11.21,96.31,2.85,1039.63,1033.14,ogive,type1,,,aluminum,0.769,342.413,595.799,0.575,2700,0.2032,0.335,31.99
143,40 mm,E,18.58,18.58,4.18,5.31,65.55,4.79,1455.66,1411.74,cylindrical,type2,9.99,6.44,tungsten,0.855,1084.529,3358.426,0.323,19300,0.2195,0.717,55.47
144,29 mm,D,12.7,12.7,7.58,8.92,58.28,4.1,1302.11,1271.02,cylindrical,type3,13.26,3.32,tungsten,0.365,506.707,1072.531,0.472,19300,0.1987,0.656,27.73
145,29 mm,D,8.95,8.95,3.62,4.99,106.16,1.68,940.29,928.52,conical,type2,,14.94,steel,0.75,251.649,375.377,0.67,7800,0.4361,0.745,30.84
146,29 mm,E,19.75,19.75,15.94,16.97,20.51,5.25,1411.07,1414.59,spherical,type2,13.21,14.65,aluminum,0.548,1225.417,4033.666,0.304,2700,0.4299,0.184,78.56
147,29 mm,D,5.35,5.35,7.32,9.32,32.48,5.25,1399.53,1398.21,conical,type1,6.88,8.15,aluminum,0.148,89.92,80.179,1.121,2700,0.1434,0.67,36.46
